lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
240,0,90.95,7,13,4,4,1,0,0,0
172,1,99.45,8,12,4,4,2,0,0,1
1,1,139.0,7,21,4,1,0,3,0,1
4,2,0.0,11,20,1,1,0,0,6,1
147,0,177.3,9,3,4,1,2,0,3,0
38,2,88.4,11,27,4,2,2,0,0,1
38,0,85.0,8,4,3,5,2,0,0,1
33,1,117.9,5,21,4,1,1,0,0,1
96,2,79.2,11,25,4,2,0,3,0,0
147,0,126.9,9,12,4,5,1,0,0,0
77,1,94.5,4,15,4,2,0,3,0,1
82,1,96.3,6,26,4,0,1,0,0,1
131,3,87.03,8,3,3,3,0,0,0,1
29,2,119.77,4,5,4,4,0,0,3,1
90,0,133.2,8,7,4,2,2,0,3,1
90,1,72.58,3,24,3,3,0,0,0,1
8,0,139.0,7,16,4,1,1,3,0,0
67,1,128.7,4,3,4,1,2,0,3,0
19,0,156.0,4,30,4,1,0,0,3,0
11,1,106.35,11,5,4,4,2,0,0,1
26,1,106.93,10,5,4,4,1,0,3,1
44,1,74.82,2,23,4,5,0,0,0,1
187,0,80.75,9,12,3,4,1,0,1,1
76,1,80.3,2,21,4,1,2,0,0,1
163,1,99.45,7,7,4,3,1,0,0,1
13,1,90.95,11,8,4,2,2,0,0,1
105,0,139.5,7,31,4,3,2,0,3,0
80,2,86.47,11,6,4,2,0,0,0,1
6,0,120.0,11,16,4,1,0,3,4,1
102,0,82.45,7,10,3,2,2,0,3,1
10,1,131.0,4,8,4,2,0,0,3,0
5,1,65.0,9,19,2,1,1,0,0,1
91,0,69.64,4,6,4,4,0,0,3,1
209,0,55.96,7,29,4,4,1,0,0,0
155,0,97.2,10,20,3,3,0,0,0,0
188,1,94.14,10,24,4,2,1,0,0,1
33,1,71.1,3,15,4,3,0,3,0,1
113,0,121.21,8,6,4,1,2,0,3,0
203,2,114.3,8,17,4,2,0,0,3,0
8,0,65.0,4,20,2,1,0,0,0,1
9,1,151.67,8,26,4,2,1,0,3,0
70,0,93.6,11,4,4,2,1,0,0,0
3,1,67.0,11,24,2,1,0,0,0,1
208,1,90.0,4,23,3,3,2,0,3,1
2,0,95.0,5,4,0,1,0,0,0,1
166,0,100.12,8,18,4,6,2,0,0,0
23,1,137.65,6,1,4,4,0,0,3,1
72,1,76.5,7,6,4,6,3,0,0,0
9,1,95.0,6,17,3,2,1,0,0,1
13,0,85.85,11,12,4,2,2,3,0,1
156,0,105.3,7,25,4,2,1,0,0,0
52,1,137.7,7,12,4,2,0,0,3,1
2,1,120.0,10,22,4,1,0,0,0,1
69,1,149.4,9,4,4,5,2,0,3,0
168,0,168.3,7,4,4,2,1,0,5,0
6,0,108.0,2,5,4,2,0,0,3,1
39,2,135.9,9,12,4,0,1,0,0,1
169,1,77.0,4,22,3,2,2,0,0,1
24,1,139.0,8,21,4,0,1,3,0,0
28,1,79.25,9,7,4,0,1,0,0,0
247,0,93.0,6,6,3,1,1,1,0,1
85,0,88.4,11,24,4,3,1,0,0,0
4,1,65.0,10,11,2,3,0,0,0,1
29,1,163.58,10,14,4,4,0,0,5,1
7,1,65.0,11,2,2,5,2,0,0,1
208,0,112.5,10,22,4,3,2,0,0,0
20,0,94.35,6,12,4,0,1,0,0,1
0,0,100.0,10,15,3,2,0,0,0,1
19,1,122.0,12,5,4,1,2,0,0,1
2,0,214.0,6,29,4,4,0,0,5,0
98,0,82.5,4,9,4,1,2,3,0,1
157,0,80.75,8,25,4,5,2,3,0,0
159,0,144.0,9,19,4,2,1,0,0,0
23,1,89.64,10,30,4,5,2,3,0,0
48,2,94.5,10,18,4,3,2,0,0,1
6,1,85.0,3,20,3,0,1,0,0,1
0,1,91.0,11,9,4,0,1,0,0,1
2,1,119.0,12,2,4,2,2,0,3,1
120,0,80.75,6,15,3,3,0,0,0,1
6,1,62.0,2,25,3,3,0,0,0,1
0,0,95.0,6,20,2,0,1,0,0,1
31,1,95.0,5,15,2,4,2,0,0,1
125,1,89.25,10,15,4,3,2,0,0,1
17,1,112.57,11,6,4,3,2,0,0,1
3,1,121.0,6,12,4,0,1,0,0,1
29,1,128.6,4,1,4,2,1,0,0,1
35,2,156.24,9,25,4,3,2,0,3,1
44,2,89.1,10,16,4,0,1,3,0,1
137,2,117.3,12,24,4,3,2,1,0,1
11,0,85.0,10,3,3,2,1,0,0,1
49,0,198.9,7,20,4,2,0,0,5,0
1,1,80.0,1,29,4,2,0,3,0,1
110,1,129.3,8,1,4,5,1,0,3,1
1,0,90.0,1,29,4,1,0,0,0,1
131,1,86.9,10,21,4,2,2,0,0,1
91,0,40.67,3,4,3,2,1,0,0,1
56,0,137.44,10,9,4,4,2,0,1,1
62,0,149.4,8,13,4,1,2,0,3,0
20,1,110.15,5,29,4,3,2,0,0,1
79,1,88.0,11,25,4,2,0,3,0,0
17,1,119.71,10,3,4,5,2,0,3,1
2,0,67.7,1,14,4,1,0,3,0,1
2,1,92.0,1,28,4,1,0,0,0,1
46,0,59.32,3,1,3,1,0,0,0,1
66,0,105.3,4,23,4,1,1,0,0,0
186,1,112.2,8,3,4,5,2,0,3,0
54,2,79.2,11,11,4,2,1,3,0,1
40,0,155.13,12,31,4,2,2,1,0,0
12,0,79.0,12,12,2,1,1,0,0,1
202,2,115.5,8,15,4,2,1,0,0,0
30,1,92.9,3,8,4,4,0,0,0,1
36,0,94.35,6,26,4,0,2,0,0,0
74,1,63.75,11,17,4,3,0,0,0,0
30,1,136.72,5,21,4,4,2,0,5,1
0,0,79.0,3,14,2,2,1,0,0,1
116,0,60.0,2,28,3,1,2,0,0,0
7,0,109.0,10,26,4,1,0,0,0,1
274,2,0.0,11,4,4,0,0,0,0,1
68,0,149.4,9,16,4,1,0,0,3,0
83,1,123.3,7,5,4,2,0,0,0,1
14,0,136.0,8,16,4,2,0,0,0,0
17,1,90.34,12,30,4,5,2,3,0,1
181,2,76.5,8,17,4,0,1,0,0,1
7,0,88.0,12,13,2,1,0,0,0,1
11,3,156.8,6,26,3,2,2,0,3,1
86,1,88.2,11,30,4,1,0,0,0,1
191,0,49.5,6,3,3,2,1,0,0,1
200,1,105.4,8,31,4,4,0,0,0,0
41,2,145.2,10,15,4,1,2,0,3,1
29,1,184.06,9,26,4,2,1,0,6,1
70,0,67.5,3,12,4,1,2,3,0,0
37,0,87.78,10,24,4,5,2,3,0,1
95,0,68.0,10,30,3,4,2,0,0,1
48,1,69.5,3,5,4,1,2,3,0,1
189,0,108.9,10,6,4,3,1,0,0,0
1,0,100.0,10,2,3,2,0,0,0,1
31,0,71.1,2,20,4,1,2,3,0,0
127,2,61.5,3,23,3,4,0,0,0,1
4,0,96.0,5,29,3,0,1,0,0,1
20,0,80.0,1,18,2,1,1,0,0,1
14,0,95.0,6,17,3,4,2,0,0,1
140,1,112.5,8,12,4,2,0,3,0,1
88,1,134.1,6,15,4,3,0,3,0,1
1,0,103.5,3,28,4,3,1,0,0,1
35,0,95.0,5,13,3,2,0,0,0,1
14,1,114.0,9,16,4,1,0,0,0,1
5,0,69.1,2,8,4,3,1,3,0,1
39,1,129.6,10,27,4,2,0,0,3,1
31,2,114.84,4,18,4,4,1,0,3,1
106,2,88.4,12,21,4,5,2,0,0,1
1,0,0.0,9,15,1,1,0,0,0,1
38,0,63.75,6,27,3,3,1,3,0,1
75,1,90.95,4,11,4,3,1,0,0,1
121,1,122.4,11,4,4,2,1,0,3,0
73,0,126.9,6,9,4,3,1,0,0,0
3,2,146.4,11,3,4,3,2,0,0,1
179,1,97.7,6,3,4,2,0,0,3,1
8,1,72.38,12,6,4,2,0,0,0,1
3,2,119.0,4,24,4,0,1,0,0,1
81,2,66.37,1,29,4,2,1,0,1,1
3,0,123.0,6,20,4,0,1,3,0,1
95,2,72.25,12,4,4,2,2,0,0,1
15,2,168.0,6,19,4,1,2,0,3,1
64,1,87.3,3,10,4,3,0,0,3,1
134,0,94.5,5,30,4,1,1,3,0,1
82,0,73.9,4,3,4,3,2,0,0,1
158,1,114.75,5,25,4,4,0,0,0,0
27,0,120.9,9,18,4,2,2,0,0,0
56,1,117.45,9,4,4,2,2,0,3,1
214,1,90.95,8,7,4,2,2,0,0,1
224,0,80.75,8,21,4,2,2,3,0,0
2,2,0.0,5,19,4,1,0,3,0,1
45,2,86.4,12,8,4,3,0,0,0,1
25,0,94.33,3,10,4,3,0,0,0,1
273,0,100.8,9,30,4,2,1,0,0,0
30,1,144.0,10,5,4,2,0,0,0,1
127,1,91.48,10,2,4,3,2,0,0,1
11,0,155.0,10,2,4,0,2,0,0,0
2,0,109.0,8,3,3,4,0,0,0,1
15,1,112.0,11,1,4,2,0,0,0,1
110,2,138.55,7,7,4,3,1,0,3,1
12,0,75.0,1,15,4,1,0,3,0,1
18,0,96.9,12,11,4,4,2,0,3,1
102,2,89.25,5,1,4,2,2,0,0,1
87,0,89.25,9,18,4,2,1,0,0,0
3,0,89.0,4,17,4,1,2,3,0,0
102,0,105.9,7,25,3,4,1,0,0,1
0,1,84.14,4,28,4,3,0,0,3,1
195,1,89.25,8,24,4,4,0,3,0,0
0,0,89.0,5,4,2,1,0,0,0,1
54,2,79.2,12,5,4,0,1,3,0,1
17,1,90.0,8,29,4,1,0,0,0,1
71,1,88.83,3,17,4,3,1,0,3,1
19,3,158.0,9,23,4,2,0,3,0,1
303,1,73.95,11,18,4,2,2,0,0,1
23,0,156.0,5,21,4,1,1,0,3,0
134,0,72.25,7,26,3,4,0,0,0,1
0,0,115.8,9,7,4,3,1,0,0,1
95,1,90.3,4,17,4,1,2,0,0,1
42,1,98.36,10,26,4,5,2,0,0,1
5,0,80.0,10,19,2,1,1,0,0,1
0,0,0.0,10,15,4,1,0,0,3,1
12,1,55.0,12,5,3,1,1,0,0,1
57,1,60.98,11,22,4,1,0,3,0,1
57,1,123.3,9,2,4,2,0,0,3,1
0,1,147.6,10,7,4,2,0,3,0,1
166,0,99.45,7,7,4,3,2,0,0,0
0,1,109.0,6,8,4,2,0,3,0,1
3,0,139.0,3,25,4,2,0,3,0,1
39,1,118.8,4,21,4,1,0,0,3,1
160,1,115.0,9,13,3,2,0,1,0,0
129,1,88.01,8,10,4,3,0,0,0,1
17,0,125.33,12,28,4,5,1,0,3,1
14,2,205.0,9,15,4,1,0,0,3,1
98,0,119.85,5,21,4,2,2,0,0,1
14,0,90.0,8,25,3,3,0,0,0,1
1,2,111.0,2,26,4,2,0,0,0,1
15,0,88.0,3,10,4,4,2,3,0,0
13,0,64.0,2,26,3,2,0,0,0,1
28,0,76.69,1,18,4,1,1,0,3,1
115,3,144.13,8,14,4,5,2,0,3,1
74,2,90.23,10,31,4,3,1,0,0,1
7,0,85.0,2,15,4,1,1,0,0,1
112,0,132.6,6,9,4,3,1,0,3,0
0,0,0.0,8,6,1,1,0,0,0,1
30,1,94.5,9,13,4,0,2,0,0,0
124,1,143.1,5,31,4,3,0,0,0,0
21,1,97.75,12,3,4,5,2,0,3,1
56,1,79.2,12,16,4,2,0,3,0,1
4,1,68.0,2,29,2,4,1,0,0,1
76,1,76.5,3,21,4,5,1,3,0,1
8,1,113.6,11,4,4,5,2,0,0,1
0,0,65.0,9,19,2,0,1,0,0,1
115,1,126.9,5,13,4,2,0,0,0,1
43,3,88.0,11,3,4,1,0,3,0,1
3,0,65.0,12,14,2,0,1,0,0,1
106,2,90.23,10,31,4,3,1,0,0,0
223,1,85.5,8,15,4,0,1,3,0,0
9,1,87.0,10,31,4,1,2,0,0,1
165,3,104.4,10,28,4,2,2,0,3,1
35,1,151.5,10,8,4,1,2,0,3,1
145,0,118.8,7,28,4,2,0,0,3,1
7,1,65.0,9,12,3,2,1,0,4,1
100,3,65.49,2,25,4,3,1,0,3,1
87,0,75.0,5,8,3,3,2,0,0,1
16,3,189.49,10,26,4,5,2,0,5,1
28,1,129.0,10,6,4,1,0,3,0,1
13,0,154.0,12,6,4,3,0,0,3,1
100,0,136.0,5,19,4,3,1,0,0,1
243,0,73.95,11,24,4,3,1,0,0,0
32,0,81.9,3,13,4,2,2,0,0,1
0,1,178.33,8,18,4,3,0,0,3,1
16,0,180.5,7,16,4,2,2,0,3,0
113,1,136.0,5,18,4,4,0,0,0,1
0,2,175.0,9,21,4,1,0,3,0,1
14,2,192.67,3,24,4,3,0,0,3,1
43,1,86.75,1,14,4,3,0,0,1,1
3,0,118.15,7,11,2,2,1,0,0,1
170,1,99.45,8,15,4,3,1,0,0,0
164,0,106.53,8,14,4,4,2,0,0,0
255,1,80.85,6,3,4,1,0,0,0,0
204,1,98.44,10,2,4,2,2,0,0,1
1,2,138.0,8,16,4,1,2,0,0,1
35,1,125.1,8,10,4,1,0,3,0,0
2,1,138.67,9,14,4,2,1,0,0,1
144,1,112.8,8,23,4,5,1,0,3,1
6,2,169.0,7,11,4,2,1,0,0,1
12,0,85.0,10,3,3,2,1,0,0,1
82,1,80.39,10,26,4,2,0,0,3,1
71,0,105.4,4,27,4,4,0,0,0,1
1,0,117.0,2,27,4,1,1,0,3,1
184,1,162.9,10,25,4,4,0,0,5,0
72,1,100.0,9,14,2,2,0,3,0,0
6,0,89.0,4,4,4,0,1,3,0,0
3,0,65.0,11,29,2,2,2,0,0,1
2,1,63.75,12,17,4,2,0,3,0,1
112,1,90.0,11,24,4,3,0,0,0,1
155,3,132.3,10,3,4,3,1,0,3,1
10,1,82.39,11,3,4,1,0,0,0,1
36,0,72.0,11,26,3,1,2,0,0,1
71,0,142.5,10,22,3,1,1,1,3,1
9,1,75.0,12,10,2,1,0,0,0,1
0,0,75.0,11,16,2,2,1,0,0,1
3,1,126.0,9,13,4,0,1,0,0,1
82,1,97.54,7,23,4,1,2,0,1,1
182,2,128.7,7,28,4,1,0,0,0,0
14,1,77.78,12,7,4,4,0,3,0,1
45,0,117.45,9,5,4,1,1,0,3,1
117,0,105.26,6,9,4,3,2,3,0,1
11,0,129.5,12,30,4,4,0,0,3,1
43,1,349.63,12,29,4,3,0,1,5,1
5,1,63.4,1,24,4,1,2,0,3,1
1,1,170.0,9,19,4,1,2,0,3,1
101,0,93.38,4,12,4,5,2,0,3,1
60,0,75.0,11,15,3,3,0,0,0,1
26,2,153.67,6,1,4,3,0,0,3,1
13,1,130.5,10,29,4,2,2,0,0,0
22,1,139.0,8,21,4,1,2,3,0,1
10,3,135.0,10,3,4,2,1,3,0,1
17,1,60.0,12,26,3,2,2,0,0,1
67,2,81.9,11,20,4,2,0,0,3,1
8,2,82.0,12,4,4,3,2,3,0,1
195,0,137.7,8,6,4,1,1,0,0,0
27,1,104.72,6,13,4,3,1,0,3,1
162,1,130.05,7,29,4,3,2,0,3,0
1,1,146.0,7,17,4,0,1,0,3,1
238,0,112.5,10,28,4,2,1,0,0,0
77,2,85.5,10,30,4,0,1,0,0,1
6,0,109.0,9,27,2,1,0,0,4,1
59,2,159.3,6,11,4,1,1,0,3,1
21,2,107.0,12,28,4,1,1,0,0,1
81,0,132.3,10,8,4,3,2,0,3,0
24,0,229.6,10,6,4,2,0,1,4,0
3,0,95.0,6,24,3,2,0,0,0,1
76,1,79.2,11,11,4,2,0,3,0,1
195,1,66.53,7,27,4,6,2,0,0,1
31,1,156.42,9,18,4,2,2,0,5,0
9,2,88.4,12,4,4,2,2,0,0,1
4,0,81.0,2,6,4,1,0,3,0,1
151,0,97.75,8,6,4,6,3,3,0,0
37,1,96.3,10,22,4,3,0,0,0,1
97,0,135.9,9,9,4,5,2,0,0,0
143,2,101.54,4,23,4,4,2,0,3,0
12,0,47.92,1,16,4,3,2,3,0,1
155,0,130.5,8,16,4,2,0,0,0,0
8,1,72.38,12,6,4,1,0,0,0,1
21,1,112.0,3,12,4,1,2,0,0,1
15,2,117.0,8,30,4,2,0,0,0,1
34,1,119.5,6,12,4,1,2,0,1,1
30,0,88.4,3,4,4,2,0,0,0,1
50,0,142.2,9,2,4,2,0,0,3,0
18,1,75.0,12,30,3,2,1,0,0,1
151,2,168.3,7,10,4,1,2,0,3,0
153,0,143.1,9,24,4,3,2,0,3,0
10,0,109.5,5,21,3,1,1,0,0,1
80,1,53.97,3,5,4,1,1,3,0,1
91,0,113.4,10,12,4,2,0,0,0,1
253,1,198.9,10,8,4,1,0,0,5,0
205,1,90.95,7,5,4,8,2,0,0,0
186,0,167.66,8,26,4,2,2,0,1,0
18,0,129.0,6,17,4,2,0,3,0,1
41,1,120.0,4,28,4,3,0,0,0,1
2,0,114.0,10,4,4,1,2,0,0,1
7,1,78.0,12,17,4,1,1,3,0,1
45,0,82.98,9,8,4,5,0,0,0,1
194,0,86.63,7,9,4,1,2,0,1,0
191,0,116.0,6,3,3,2,1,0,0,0
68,1,96.3,4,4,4,2,1,0,0,1
37,1,111.6,6,29,3,1,0,0,0,1
80,0,98.41,7,1,4,1,0,0,3,0
32,0,92.88,10,25,4,5,1,0,0,1
4,0,108.35,2,12,4,14,6,0,3,0
105,0,65.0,9,28,2,1,0,0,0,1
31,0,74.88,12,8,3,3,0,0,0,1
58,1,97.47,10,29,4,3,2,0,0,1
32,0,168.3,7,15,4,2,1,0,3,0
26,0,100.0,11,11,4,1,0,3,0,0
17,2,97.0,12,28,4,0,1,0,0,1
85,3,125.1,5,13,4,1,0,3,0,1
90,0,90.0,5,8,3,3,2,1,0,1
148,0,102.25,7,1,3,7,3,1,0,1
16,1,169.6,11,6,4,3,2,0,0,1
8,2,158.0,9,9,4,1,0,3,0,1
10,1,101.0,11,20,4,0,1,0,0,0
82,0,65.0,3,26,3,1,2,0,0,1
16,1,117.6,9,5,3,4,2,0,0,1
13,0,161.0,11,8,2,2,0,0,0,1
204,0,81.81,7,12,4,4,0,0,1,0
53,2,85.85,3,28,4,4,1,0,0,1
1,0,83.0,5,10,4,1,0,0,0,1
13,1,161.66,5,11,4,3,0,0,5,1
22,2,105.0,9,15,4,3,0,0,0,1
75,0,91.38,7,28,4,3,0,0,0,1
151,1,100.5,8,5,4,2,1,3,0,0
19,1,130.0,2,20,4,1,2,0,3,1
58,1,93.6,12,9,4,2,0,0,0,1
122,1,99.45,5,4,4,4,1,0,0,1
98,3,93.6,12,5,4,1,1,0,0,1
48,1,138.5,3,21,4,3,1,0,0,0
21,0,92.0,11,4,3,1,0,0,3,1
98,0,65.0,9,21,2,1,0,0,0,1
200,4,115.6,10,3,3,4,1,0,3,1
30,0,81.9,2,13,4,1,0,0,0,0
77,0,94.5,7,12,4,2,0,3,0,0
66,1,87.3,9,2,4,2,1,3,0,1
22,3,122.0,8,31,4,1,0,0,0,1
37,1,113.65,9,28,4,1,0,0,3,1
60,1,123.98,9,5,4,3,1,0,3,0
63,0,89.25,10,14,4,2,0,0,0,0
110,1,96.3,4,27,4,3,0,0,0,1
4,1,80.0,1,20,4,1,0,0,0,1
49,1,145.61,12,28,4,4,1,1,0,1
125,1,114.3,7,9,4,1,2,0,0,1
210,1,90.9,8,18,4,1,0,0,0,0
9,1,67.22,2,24,4,2,0,0,0,1
18,1,94.4,6,13,4,4,1,0,0,1
11,0,151.0,8,9,4,3,0,0,0,0
46,0,99.0,3,24,4,1,0,0,0,0
1,2,181.0,11,25,4,1,0,0,5,1
81,2,139.5,7,27,4,3,0,0,3,1
62,1,114.3,7,26,4,3,0,0,0,0
71,0,95.25,3,3,4,3,1,0,0,1
21,0,130.9,5,29,4,2,2,0,3,0
0,0,0.0,8,25,1,2,0,0,0,1
1,0,95.0,9,6,2,1,0,0,0,1
167,2,105.3,7,30,4,1,0,0,0,0
3,0,79.0,2,2,4,1,0,0,0,1
126,0,79.2,11,5,4,1,1,3,0,1
10,0,81.0,2,20,4,3,2,3,0,1
113,1,129.6,9,11,4,3,2,0,0,1
55,2,114.0,6,19,4,2,2,0,3,1
10,2,120.0,10,26,4,1,0,3,0,1
24,1,79.0,2,26,4,2,0,3,0,1
6,1,121.67,5,16,4,2,1,0,0,1
182,1,112.2,8,15,4,3,1,0,3,0
174,0,90.95,9,8,3,3,0,0,3,1
177,1,72.25,8,5,3,2,2,0,0,1
179,1,85.5,7,17,4,0,1,3,0,0
12,1,89.32,8,29,4,5,2,0,3,1
120,1,136.8,8,9,4,5,0,0,3,1
175,1,99.45,8,2,4,4,0,0,0,1
9,0,119.2,9,22,4,1,0,3,0,1
59,0,80.75,4,4,3,3,1,0,0,1
98,1,124.2,11,18,4,2,1,1,0,1
4,2,75.0,9,27,3,1,0,0,0,1
1,2,0.0,1,22,1,1,0,0,3,1
116,0,105.3,5,5,4,3,0,0,0,0
62,2,132.3,10,13,4,3,0,0,3,1
8,1,96.0,3,8,4,1,0,0,0,1
143,1,112.0,7,2,3,1,2,0,0,1
60,2,89.25,10,25,4,2,2,0,0,1
38,1,81.0,9,19,3,2,1,0,0,1
1,0,151.33,10,9,4,2,1,0,0,1
7,2,160.0,10,27,4,1,0,0,0,1
12,0,118.67,12,30,4,4,2,0,3,1
253,2,73.95,12,13,4,5,1,0,0,1
14,2,89.0,11,18,4,2,0,3,0,1
115,0,64.75,2,27,3,6,2,0,0,0
18,0,111.75,10,2,4,2,2,0,0,1
73,0,73.0,10,28,3,1,0,0,0,1
27,1,88.4,12,13,4,4,0,0,0,1
19,0,80.0,11,13,3,3,2,0,0,1
80,0,168.3,9,12,4,2,1,0,3,0
181,2,90.9,10,28,4,2,0,0,0,0
34,1,99.0,9,2,4,1,0,3,0,0
62,0,60.0,11,25,3,4,0,0,3,1
85,1,90.95,4,12,4,4,0,0,0,1
66,1,114.3,3,19,4,1,1,0,3,1
143,1,246.6,7,8,4,2,0,0,5,0
8,1,116.33,12,1,4,3,0,0,3,1
13,1,65.0,6,14,2,3,0,0,0,1
92,1,105.3,4,28,4,1,0,0,0,1
74,2,79.2,11,13,4,0,2,3,0,1
14,1,81.0,1,21,4,3,0,0,0,1
67,0,68.0,12,16,3,2,0,0,0,1
0,1,124.0,9,11,4,1,0,0,0,1
56,0,94.5,6,20,4,2,1,0,0,0
132,2,114.75,7,13,4,4,2,0,0,1
136,1,117.29,5,29,4,3,2,0,3,1
110,0,135.9,5,6,4,1,0,0,0,0
11,1,81.0,2,12,4,2,1,3,0,1
65,3,135.9,9,27,4,3,0,0,0,1
84,0,90.95,4,14,4,3,2,0,0,1
179,0,80.75,7,18,4,3,1,3,0,0
99,2,171.9,11,7,4,2,1,0,0,1
143,0,106.03,7,13,4,1,0,0,0,1
5,2,231.0,7,23,4,1,0,0,5,1
12,2,80.85,9,9,4,2,0,0,0,1
23,2,137.67,4,29,4,2,1,0,0,1
18,1,151.0,8,16,4,2,0,0,0,1
46,0,103.0,3,4,3,3,2,1,0,1
13,2,75.0,8,7,4,1,0,0,0,1
5,0,93.0,2,27,4,1,0,0,0,1
1,1,147.67,7,9,4,1,2,0,0,1
6,2,97.0,8,26,4,1,0,3,0,1
0,1,45.0,1,6,3,2,0,0,0,1
46,0,124.71,11,7,4,5,1,0,0,1
5,1,136.0,6,11,4,1,0,0,3,1
25,0,106.2,9,9,4,1,0,3,0,0
233,0,90.95,8,29,4,5,1,0,0,0
178,1,137.25,8,1,4,4,1,0,3,0
35,1,88.4,12,2,4,2,2,0,0,1
20,2,114.0,11,15,4,2,0,0,3,1
59,0,76.5,7,12,4,4,2,0,0,0
13,0,80.0,3,2,2,3,0,0,0,1
32,1,121.5,2,26,4,2,0,0,3,0
12,1,139.0,10,7,4,3,0,0,0,1
13,0,65.0,2,17,2,1,0,0,0,1
215,0,90.95,10,3,3,3,1,0,3,1
103,0,107.55,7,11,4,3,1,0,0,1
66,1,62.18,3,19,4,2,2,3,0,1
15,1,113.5,12,4,4,2,2,0,0,1
113,0,90.0,11,11,3,1,0,0,0,1
1,0,75.0,1,8,4,1,0,3,0,1
51,1,129.0,11,1,4,3,0,0,0,1
0,0,65.0,12,29,3,3,1,0,0,1
173,1,365.0,7,25,3,2,1,1,0,0
10,0,111.0,4,7,4,3,0,0,0,0
8,0,83.0,11,4,4,1,0,0,0,1
81,0,119.85,5,14,4,2,2,0,0,0
37,0,76.5,10,23,3,1,0,0,0,1
17,1,82.0,12,18,3,2,2,0,0,1
69,1,90.95,3,20,4,3,2,0,0,1
1,0,158.0,9,22,4,1,0,0,0,1
86,2,198.9,5,22,4,3,2,1,0,1
17,0,65.0,12,9,2,1,0,0,0,1
38,0,187.0,11,4,4,2,0,0,5,1
1,0,168.5,7,6,4,4,0,0,3,1
17,0,166.0,7,9,4,1,1,0,3,0
48,1,60.0,1,17,3,3,2,0,0,1
81,0,80.75,10,22,3,2,2,0,0,1
89,0,80.75,10,8,3,2,2,0,0,0
76,0,89.75,8,30,3,4,0,0,0,1
12,0,38.67,3,17,3,3,0,0,0,1
4,2,99.5,11,22,4,2,0,0,0,1
16,0,90.0,1,18,4,1,1,0,0,1
29,2,94.5,9,15,4,2,0,0,0,1
91,0,85.5,6,26,4,0,1,3,0,0
112,1,76.5,8,7,4,2,2,0,0,0
95,1,121.5,5,21,4,1,1,0,0,0
41,1,117.9,3,31,4,3,0,0,0,1
7,2,116.73,12,27,4,5,1,0,3,1
28,0,101.8,4,17,4,2,2,0,0,0
28,2,81.1,2,6,4,1,2,0,0,1
97,1,94.5,11,20,4,0,2,0,0,1
44,1,74.8,11,16,4,4,1,3,0,1
79,2,109.8,12,9,4,2,1,0,0,1
1,0,91.2,9,20,4,1,2,3,0,1
13,1,87.0,2,18,3,3,0,0,0,1
147,1,174.0,3,24,4,3,0,0,5,1
37,0,85.5,9,16,4,2,0,0,0,1
3,0,6.0,9,19,4,2,2,0,0,1
9,3,127.0,6,23,4,1,0,0,3,1
1,1,41.0,1,21,2,1,0,0,3,1
47,0,85.5,4,18,4,1,1,3,0,0
3,0,81.0,2,14,4,0,2,3,0,1
2,1,76.12,11,27,4,5,4,0,0,0
71,0,126.5,10,22,3,1,1,1,3,1
231,1,115.2,6,8,4,4,0,0,3,0
1,0,0.0,10,20,1,2,0,0,0,1
9,1,131.0,4,27,4,3,0,0,0,1
83,0,82.45,3,12,4,4,2,0,3,1
163,0,140.4,9,19,4,3,1,0,3,0
6,1,133.0,9,26,3,0,1,0,0,1
0,0,88.0,11,26,2,1,0,0,0,1
0,2,168.3,8,20,4,1,0,0,3,1
127,1,101.13,7,26,4,6,2,0,3,1
1,1,135.0,5,11,4,1,0,0,0,1
38,1,199.3,8,31,4,3,0,0,5,1
98,0,75.0,12,21,3,4,0,0,0,1
87,1,136.8,11,18,4,2,0,1,3,1
9,1,85.0,12,18,4,1,0,3,0,1
57,2,130.2,11,11,4,2,1,1,0,1
88,2,120.8,7,13,4,4,1,0,3,1
27,2,124.0,9,18,4,2,0,0,0,1
197,0,110.43,12,29,4,4,0,0,0,1
4,1,2.0,3,23,4,1,0,0,0,1
7,1,119.5,8,20,4,3,1,0,0,0
2,0,80.0,1,29,4,1,0,0,0,1
55,1,74.8,11,11,4,5,2,3,0,0
62,0,116.1,5,19,4,1,0,3,0,1
8,0,64.4,3,9,3,2,0,0,0,1
134,1,146.7,8,12,4,2,1,0,3,1
263,0,0.0,9,21,4,0,1,0,0,1
47,1,81.9,3,13,4,1,2,0,0,1
79,2,137.7,7,19,4,2,0,0,0,1
5,0,94.0,11,2,2,2,0,0,3,0
3,0,106.0,5,13,2,1,0,0,4,1
76,0,51.09,2,11,4,3,1,3,0,1
68,1,118.8,4,26,4,2,0,0,3,1
27,0,136.0,9,19,3,0,1,0,0,0
6,1,109.75,9,7,4,3,1,0,0,1
386,0,90.0,10,23,4,0,2,1,0,0
75,0,157.6,4,14,4,3,0,0,5,0
70,0,115.6,5,9,3,2,1,0,3,1
76,2,72.25,11,19,4,3,0,0,0,1
0,2,201.0,3,23,4,2,0,0,5,1
90,0,108.3,6,26,4,4,2,0,0,1
10,1,186.0,8,5,4,2,0,0,3,1
